"periode","demande brute","demande nette"
1,66819.500,66819.500
2,64306.500,64306.500
3,63342.500,63342.500
4,60407.500,60407.500
5,58008.500,58008.500
6,57365.500,57365.500
7,58018.000,58018.000
8,58763.000,58763.000
9,59328.000,59328.000
10,60099.000,60099.000
11,61940.500,61940.500
12,63532.000,63532.000
13,65596.500,65596.500
14,66078.500,66078.500
15,63038.500,63038.500
16,61104.000,61104.000
17,60562.000,60562.000
18,62652.500,62652.500
19,66968.500,66968.500
20,69243.000,69243.000
21,69043.500,69043.500
22,66832.500,66832.500
23,65503.000,65503.000
24,67673.500,67673.500
25,66535.000,66535.000
26,63657.500,63657.500
27,63193.000,63193.000
28,61084.000,61084.000
29,59641.000,59641.000
30,59925.500,59925.500
31,61564.000,61564.000
32,63479.500,63479.500
33,65656.500,65656.500
34,68028.500,68028.500
35,70592.500,70592.500
36,71604.500,71604.500
37,73366.500,73366.500
38,73641.000,73641.000
39,70417.500,70417.500
40,68254.500,68254.500
41,67205.000,67205.000
42,68654.000,68654.000
43,72364.000,72364.000
44,74250.500,74250.500
45,72703.000,72703.000
46,69609.000,69609.000
47,67800.000,67800.000
48,69817.500,69817.500
49,68419.500,68419.500
50,65178.500,65178.500
51,64171.500,64171.500
52,61517.500,61517.500
53,59501.000,59501.000
54,59099.500,59099.500
55,59913.000,59913.000
56,61227.500,61227.500
57,62809.500,62809.500
58,64867.500,64867.500
59,67705.000,67705.000
60,69869.500,69869.500
61,72385.000,72385.000
62,72414.000,72414.000
63,68533.500,68533.500
64,66136.500,66136.500
65,65209.000,65209.000
66,66998.500,66998.500
67,71837.500,71837.500
68,74529.500,74529.500
69,73259.000,73259.000
70,70252.000,70252.000
71,68161.500,68161.500
72,69993.000,69993.000
73,68808.500,68808.500
74,66117.500,66117.500
75,65553.500,65553.500
76,63424.500,63424.500
77,61960.500,61960.500
78,63249.500,63249.500
79,67711.500,67711.500
80,74110.500,74110.500
81,78558.500,78558.500
82,80299.500,80299.500
83,81261.500,81261.500
84,81986.500,81986.500
85,83577.500,83577.500
86,83572.000,83572.000
87,81555.500,81555.500
88,79543.500,79543.500
89,78602.000,78602.000
90,79687.500,79687.500
91,83253.500,83253.500
92,84721.500,84721.500
93,80435.500,80435.500
94,75986.500,75986.500
95,73308.000,73308.000
96,74775.000,74775.000
97,73268.500,73268.500
98,70409.000,70409.000
99,70033.000,70033.000
100,67600.500,67600.500
101,66148.500,66148.500
102,67260.500,67260.500
103,71799.000,71799.000
104,77991.000,77991.000
105,82261.500,82261.500
106,83495.000,83495.000
107,83677.000,83677.000
108,84042.000,84042.000
109,85226.500,85226.500
110,84992.500,84992.500
111,82681.000,82681.000
112,80892.000,80892.000
113,80239.500,80239.500
114,81157.000,81157.000
115,84573.000,84573.000
116,85536.000,85536.000
117,81477.000,81477.000
118,76820.000,76820.000
119,74039.000,74039.000
120,75370.500,75370.500
121,73837.500,73837.500
122,71095.000,71095.000
123,70714.000,70714.000
124,68312.000,68312.000
125,66790.500,66790.500
126,67945.500,67945.500
127,72413.500,72413.500
128,77829.000,77829.000
129,81851.000,81851.000
130,83210.500,83210.500
131,83627.000,83627.000
132,83852.000,83852.000
133,84958.500,84958.500
134,84229.000,84229.000
135,82180.000,82180.000
136,80060.000,80060.000
137,78977.500,78977.500
138,79992.000,79992.000
139,83841.000,83841.000
140,85416.500,85416.500
141,81487.500,81487.500
142,76870.000,76870.000
143,74454.000,74454.000
144,76193.500,76193.500
145,74988.000,74988.000
146,72553.500,72553.500
147,72367.000,72367.000
148,69983.500,69983.500
149,68529.000,68529.000
150,69750.000,69750.000
151,74355.000,74355.000
152,80471.000,80471.000
153,84622.000,84622.000
154,85479.000,85479.000
155,85087.000,85087.000
156,84222.000,84222.000
157,84088.000,84088.000
158,82970.500,82970.500
159,80844.500,80844.500
160,78815.000,78815.000
161,78103.000,78103.000
162,79747.500,79747.500
163,84365.000,84365.000
164,86525.000,86525.000
165,82359.500,82359.500
166,77902.500,77902.500
167,75548.000,75548.000
168,77413.500,77413.500
169,76305.000,76305.000
170,73706.500,73706.500
171,73668.000,73668.000
172,71398.500,71398.500
173,69960.000,69960.000
174,71211.000,71211.000
175,75763.000,75763.000
176,81518.500,81518.500
177,85594.000,85594.000
178,86684.500,86684.500
179,86006.000,86006.000
180,84557.500,84557.500
181,84192.500,84192.500
182,82994.000,82994.000
183,79253.000,79253.000
184,76607.000,76607.000
185,76255.500,76255.500
186,78134.000,78134.000
187,82720.500,82720.500
188,84272.500,84272.500
189,81429.500,81429.500
190,77452.500,77452.500
191,75449.000,75449.000
192,77469.500,77469.500
193,76291.000,76291.000
194,73453.000,73453.000
195,72927.000,72927.000
196,70122.500,70122.500
197,68249.000,68249.000
198,68201.000,68201.000
199,69666.000,69666.000
200,71772.000,71772.000
201,74583.500,74583.500
202,77355.000,77355.000
203,79413.500,79413.500
204,79248.500,79248.500
205,80221.500,80221.500
206,79336.000,79336.000
207,75503.000,75503.000
208,72881.500,72881.500
209,71835.500,71835.500
210,73332.500,73332.500
211,78044.000,78044.000
212,80495.000,80495.000
213,79024.000,79024.000
214,75745.500,75745.500
215,74114.000,74114.000
216,76396.000,76396.000
217,75404.000,75404.000
218,72359.500,72359.500
219,71586.500,71586.500
220,68936.000,68936.000
221,66778.500,66778.500
222,66356.500,66356.500
223,67061.500,67061.500
224,68506.000,68506.000
225,70477.500,70477.500
226,73143.000,73143.000
227,75865.500,75865.500
228,76919.500,76919.500
229,78139.500,78139.500
230,76881.000,76881.000
231,72451.000,72451.000
232,69609.000,69609.000
233,68571.500,68571.500
234,70395.000,70395.000
235,76315.000,76315.000
236,79915.500,79915.500
237,78573.000,78573.000
238,75558.000,75558.000
239,73666.000,73666.000
240,75726.000,75726.000
241,74992.500,74992.500
242,72574.000,72574.000
243,72487.500,72487.500
244,70536.500,70536.500
245,69262.500,69262.500
246,70805.000,70805.000
247,75586.000,75586.000
248,82142.500,82142.500
249,86781.500,86781.500
250,87831.500,87831.500
251,87153.000,87153.000
252,86180.000,86180.000
253,86370.000,86370.000
254,85536.500,85536.500
255,82929.000,82929.000
256,80547.500,80547.500
257,79827.500,79827.500
258,81272.000,81272.000
259,85968.000,85968.000
260,87864.500,87864.500
261,83591.000,83591.000
262,78784.500,78784.500
263,76144.500,76144.500
264,77534.500,77534.500
265,76188.000,76188.000
266,73605.500,73605.500
267,73125.500,73125.500
268,70657.500,70657.500
269,69153.000,69153.000
270,70044.500,70044.500
271,74428.000,74428.000
272,80432.500,80432.500
273,84207.000,84207.000
274,84842.000,84842.000
275,84447.000,84447.000
276,84270.000,84270.000
277,84979.000,84979.000
278,84133.500,84133.500
279,81793.000,81793.000
280,79301.000,79301.000
281,78135.500,78135.500
282,78410.000,78410.000
283,81433.000,81433.000
284,82673.500,82673.500
285,78361.500,78361.500
286,73533.000,73533.000
287,70765.500,70765.500
288,71742.000,71742.000
289,70266.500,70266.500
290,66878.000,66878.000
291,66264.500,66264.500
292,63872.500,63872.500
293,62293.000,62293.000
294,63118.500,63118.500
295,67189.500,67189.500
296,72781.000,72781.000
297,76854.500,76854.500
298,77731.500,77731.500
299,77708.500,77708.500
300,77644.500,77644.500
301,78593.500,78593.500
302,77802.500,77802.500
303,75688.500,75688.500
304,73432.500,73432.500
305,72521.000,72521.000
306,72965.500,72965.500
307,76641.000,76641.000
308,78257.000,78257.000
309,74083.500,74083.500
310,69472.500,69472.500
311,66911.000,66911.000
312,68312.500,68312.500
313,66887.500,66887.500
314,63930.500,63930.500
315,63089.500,63089.500
316,60676.500,60676.500
317,59056.500,59056.500
318,59992.000,59992.000
319,64428.500,64428.500
320,70790.500,70790.500
321,74715.000,74715.000
322,75418.000,75418.000
323,74782.000,74782.000
324,74921.000,74921.000
325,76211.000,76211.000
326,75807.000,75807.000
327,73671.000,73671.000
328,71642.500,71642.500
329,70682.000,70682.000
330,71520.500,71520.500
331,75056.000,75056.000
332,77018.000,77018.000
333,73235.500,73235.500
334,68856.500,68856.500
335,66555.500,66555.500
