"periode","marginale"
1,45.373
2,45.373
3,45.373
4,45.373
5,45.373
6,45.373
7,45.373
8,45.373
9,45.373
10,45.373
11,45.373
12,45.373
13,45.373
14,45.373
15,45.373
16,45.373
17,45.373
18,45.373
19,45.373
20,45.373
21,45.373
22,45.373
23,45.373
24,45.373
25,45.373
26,45.373
27,45.373
28,45.373
29,45.373
30,45.373
31,45.373
32,45.373
33,45.373
34,45.373
35,45.373
36,45.373
37,45.373
38,45.373
39,45.373
40,45.373
41,45.373
42,45.373
43,45.373
44,45.373
45,45.373
46,45.373
47,45.373
48,45.373
49,45.373
50,45.373
51,45.373
52,45.373
53,45.373
54,45.373
55,45.373
56,45.373
57,45.373
58,45.373
59,45.373
60,45.373
61,45.373
62,45.373
63,45.373
64,45.373
65,45.373
66,45.373
67,45.373
68,45.373
69,45.373
70,45.373
71,45.373
72,45.373
73,45.373
74,45.373
75,45.373
76,45.373
77,45.373
78,45.373
79,45.373
80,45.373
81,45.373
82,153.444
83,153.444
84,153.444
85,153.444
86,153.444
87,45.373
88,45.373
89,45.373
90,45.373
91,153.444
92,153.444
93,45.373
94,45.373
95,45.373
96,45.373
97,45.373
98,45.373
99,45.373
100,45.373
101,45.373
102,45.373
103,45.373
104,45.373
105,153.444
106,153.444
107,153.444
108,153.444
109,153.444
110,153.444
111,153.444
112,153.444
113,153.444
114,153.444
115,153.444
116,153.444
117,153.444
118,45.373
119,45.373
120,45.373
121,45.373
122,45.373
123,45.373
124,45.373
125,45.373
126,45.373
127,45.373
128,45.373
129,153.444
130,153.444
131,153.444
132,153.444
133,153.444
134,153.444
135,153.444
136,153.444
137,153.444
138,153.444
139,153.444
140,153.444
141,153.444
142,45.373
143,45.373
144,45.373
145,45.373
146,45.373
147,45.373
148,45.373
149,45.373
150,45.373
151,45.373
152,153.444
153,153.444
154,153.444
155,153.444
156,153.444
157,153.444
158,45.373
159,45.373
160,45.373
161,45.373
162,153.444
163,153.444
164,153.444
165,153.444
166,45.373
167,45.373
168,45.373
169,45.373
170,45.373
171,45.373
172,45.373
173,45.373
174,45.373
175,45.373
176,153.444
177,153.444
178,153.444
179,153.444
180,153.444
181,45.373
182,45.373
183,45.373
184,45.373
185,45.373
186,153.444
187,153.444
188,153.444
189,153.444
190,45.373
191,45.373
192,45.373
193,45.373
194,45.373
195,45.373
196,45.373
197,45.373
198,45.373
199,45.373
200,45.373
201,45.373
202,45.373
203,45.373
204,45.373
205,45.373
206,45.373
207,45.373
208,45.373
209,45.373
210,45.373
211,45.373
212,45.373
213,45.373
214,45.373
215,45.373
216,45.373
217,45.373
218,45.373
219,45.373
220,45.373
221,45.373
222,45.373
223,45.373
224,45.373
225,45.373
226,45.373
227,45.373
228,45.373
229,45.373
230,45.373
231,45.373
232,45.373
233,45.373
234,45.373
235,45.373
236,45.373
237,45.373
238,45.373
239,45.373
240,45.373
241,45.373
242,45.373
243,45.373
244,45.373
245,45.373
246,45.373
247,45.373
