"periode","prod totale","prod PV","prod eolien"
1,66819.500,0.000,1163.650
2,64306.500,0.000,1163.650
3,63342.500,0.000,930.920
4,60407.500,0.000,1163.650
5,58008.500,0.000,1163.650
6,57365.500,0.000,1163.650
7,58018.000,0.000,1163.650
8,58763.000,0.000,1396.380
9,59328.000,0.000,1396.380
10,60099.000,564.480,1396.380
11,61940.500,1505.280,1163.650
12,63532.000,2446.080,930.920
13,65596.500,3010.560,930.920
14,66078.500,2822.400,698.190
15,63038.500,2446.080,930.920
16,61104.000,1505.280,1163.650
17,60562.000,564.480,1163.650
18,62652.500,0.000,1396.380
19,66968.500,0.000,1629.110
20,69243.000,0.000,1629.110
21,69043.500,0.000,1629.110
22,66832.500,0.000,1629.110
23,65503.000,0.000,1396.380
24,67673.500,0.000,1396.380
25,66535.000,0.000,1396.380
26,63657.500,0.000,1396.380
27,63193.000,0.000,1629.110
28,61084.000,0.000,1629.110
29,59641.000,0.000,1629.110
30,59925.500,0.000,1861.840
31,61564.000,0.000,1861.840
32,63479.500,0.000,2094.570
33,65656.500,0.000,2094.570
34,68028.500,376.320,1861.840
35,70592.500,940.800,2094.570
36,71604.500,1693.440,1861.840
37,73366.500,2069.760,1861.840
38,73641.000,2069.760,2094.570
39,70417.500,1505.280,2094.570
40,68254.500,940.800,2094.570
41,67205.000,376.320,2094.570
42,68654.000,0.000,2094.570
43,72364.000,0.000,2327.300
44,74250.500,0.000,2094.570
45,72703.000,0.000,2094.570
46,69609.000,0.000,1861.840
47,67800.000,0.000,1861.840
48,69817.500,0.000,1861.840
49,68419.500,0.000,1861.840
50,65178.500,0.000,1861.840
51,64171.500,0.000,1861.840
52,61517.500,0.000,1861.840
53,59501.000,0.000,1861.840
54,59099.500,0.000,1861.840
55,59913.000,0.000,1861.840
56,61227.500,0.000,1861.840
57,62809.500,0.000,1861.840
58,64867.500,564.480,1861.840
59,67705.000,1317.120,1861.840
60,69869.500,2257.920,1629.110
61,72385.000,2822.400,1629.110
62,72414.000,2634.240,1861.840
63,68533.500,2069.760,1861.840
64,66136.500,1317.120,2094.570
65,65209.000,376.320,2094.570
66,66998.500,0.000,2327.300
67,71837.500,0.000,2327.300
68,74529.500,0.000,2560.030
69,73259.000,0.000,2560.030
70,70252.000,0.000,2560.030
71,68161.500,0.000,2560.030
72,69993.000,0.000,2327.300
73,68808.500,0.000,2327.300
74,66117.500,0.000,2327.300
75,65553.500,0.000,2327.300
76,63424.500,0.000,2094.570
77,61960.500,0.000,1861.840
78,63249.500,0.000,1861.840
79,67711.500,0.000,1861.840
80,74110.500,0.000,1861.840
81,78558.500,0.000,1861.840
82,80299.500,376.320,1861.840
83,81261.500,1128.960,1861.840
84,81986.500,1693.440,1861.840
85,83577.500,2069.760,1861.840
86,83572.000,1881.600,2094.570
87,81555.500,1693.440,2327.300
88,79543.500,1128.960,2560.030
89,78602.000,376.320,3025.490
90,79687.500,0.000,3025.490
91,83253.500,0.000,3258.220
92,84721.500,0.000,3490.950
93,80435.500,0.000,3723.680
94,75986.500,0.000,3723.680
95,73308.000,0.000,3490.950
96,74775.000,0.000,3490.950
97,73268.500,0.000,3258.220
98,70409.000,0.000,3025.490
99,70033.000,0.000,2792.760
100,67600.500,0.000,2792.760
101,66148.500,0.000,2560.030
102,67260.500,0.000,2327.300
103,71799.000,0.000,2327.300
104,77991.000,0.000,2327.300
105,82261.500,0.000,2560.030
106,83495.000,376.320,2327.300
107,83677.000,940.800,2094.570
108,84042.000,1317.120,1861.840
109,85226.500,1693.440,1629.110
110,84992.500,1505.280,1861.840
111,82681.000,1317.120,2094.570
112,80892.000,752.640,2327.300
113,80239.500,188.160,2560.030
114,81157.000,0.000,2327.300
115,84573.000,0.000,2327.300
116,85536.000,0.000,2094.570
117,81477.000,0.000,1861.840
118,76820.000,0.000,1861.840
119,74039.000,0.000,1861.840
120,75370.500,0.000,1861.840
121,73837.500,0.000,1861.840
122,71095.000,0.000,1629.110
123,70714.000,0.000,1629.110
124,68312.000,0.000,1629.110
125,66790.500,0.000,1629.110
126,67945.500,0.000,1396.380
127,72413.500,0.000,1396.380
128,77829.000,0.000,1163.650
129,81851.000,0.000,1163.650
130,83210.500,376.320,930.920
131,83627.000,1317.120,930.920
132,83852.000,2069.760,930.920
133,84958.500,2634.240,698.190
134,84229.000,2446.080,698.190
135,82180.000,1881.600,930.920
136,80060.000,1128.960,930.920
137,78977.500,376.320,698.190
138,79992.000,0.000,698.190
139,83841.000,0.000,698.190
140,85416.500,0.000,465.460
141,81487.500,0.000,465.460
142,76870.000,0.000,465.460
143,74454.000,0.000,465.460
144,76193.500,0.000,465.460
145,74988.000,0.000,465.460
146,72553.500,0.000,465.460
147,72367.000,0.000,465.460
148,69983.500,0.000,465.460
149,68529.000,0.000,698.190
150,69750.000,0.000,465.460
151,74355.000,0.000,465.460
152,80471.000,0.000,698.190
153,84622.000,0.000,698.190
154,85479.000,752.640,698.190
155,85087.000,2069.760,698.190
156,84222.000,3198.720,465.460
157,84088.000,3763.200,698.190
