"periode","demande brute","demande nette"
1,66819.500,66819.500
2,64306.500,67306.500
3,63342.500,60342.500
4,60407.500,63407.500
5,58008.500,55008.500
6,57365.500,60365.500
7,58018.000,55018.000
8,58763.000,61763.000
9,59328.000,62328.000
10,60099.000,57099.000
11,61940.500,58940.500
12,63532.000,66532.000
13,65596.500,68596.500
14,66078.500,66078.500
15,63038.500,63038.500
16,61104.000,58104.000
17,60562.000,63562.000
18,62652.500,59652.500
19,66968.500,63968.500
20,69243.000,69243.000
21,69043.500,72043.500
22,66832.500,69832.500
23,65503.000,65503.000
24,67673.500,64673.500
25,66535.000,63535.000
26,63657.500,63657.500
27,63193.000,66193.000
28,61084.000,58084.000
29,59641.000,62641.000
30,59925.500,62925.500
31,61564.000,58564.000
32,63479.500,66479.500
33,65656.500,62656.500
34,68028.500,71028.500
35,70592.500,67592.500
36,71604.500,68604.500
37,73366.500,76366.500
38,73641.000,70641.000
39,70417.500,70417.500
40,68254.500,71254.500
41,67205.000,70205.000
42,68654.000,68654.000
43,72364.000,72364.000
44,74250.500,71250.500
45,72703.000,69703.000
46,69609.000,72609.000
47,67800.000,64800.000
48,69817.500,72817.500
49,68419.500,68419.500
50,65178.500,62178.500
51,64171.500,64171.500
52,61517.500,64517.500
53,59501.000,59501.000
54,59099.500,62099.500
55,59913.000,56913.000
56,61227.500,58227.500
57,62809.500,65809.500
58,64867.500,61867.500
59,67705.000,70705.000
60,69869.500,72869.500
61,72385.000,69385.000
62,72414.000,69414.000
63,68533.500,68533.500
64,66136.500,69136.500
65,65209.000,68209.000
66,66998.500,66998.500
67,71837.500,68837.500
68,74529.500,71529.500
69,73259.000,76259.000
70,70252.000,73252.000
71,68161.500,65161.500
72,69993.000,72993.000
73,68808.500,65808.500
74,66117.500,63117.500
75,65553.500,65553.500
76,63424.500,66424.500
77,61960.500,64960.500
78,63249.500,63249.500
79,67711.500,64711.500
80,74110.500,71110.500
81,78558.500,78558.500
82,80299.500,83299.500
83,81261.500,84261.500
84,81986.500,78986.500
85,83577.500,86577.500
86,83572.000,80582.000
87,81555.500,78555.500
88,79543.500,82543.500
89,78602.000,81602.000
90,79687.500,76687.500
91,83253.500,86253.500
92,84721.500,84721.500
93,80435.500,77435.500
94,75986.500,75986.500
95,73308.000,70308.000
96,74775.000,74775.000
97,73268.500,73268.500
98,70409.000,73409.000
99,70033.000,70033.000
100,67600.500,70600.500
101,66148.500,63148.500
102,67260.500,70260.500
103,71799.000,68799.000
104,77991.000,80991.000
105,82261.500,79261.500
106,83495.000,83495.000
107,83677.000,86677.000
108,84042.000,83842.000
109,85226.500,82326.500
110,84992.500,82092.500
111,82681.000,85681.000
112,80892.000,83892.000
113,80239.500,80239.500
114,81157.000,78157.000
115,84573.000,81573.000
116,85536.000,85536.000
117,81477.000,84477.000
118,76820.000,79820.000
119,74039.000,71039.000
120,75370.500,78370.500
121,73837.500,70837.500
122,71095.000,68095.000
123,70714.000,73714.000
124,68312.000,65312.000
125,66790.500,69790.500
126,67945.500,67945.500
127,72413.500,75413.500
128,77829.000,74829.000
129,81851.000,84851.000
130,83210.500,80210.500
131,83627.000,80627.000
132,83852.000,86852.000
133,84958.500,81958.500
134,84229.000,87229.000
135,82180.000,85180.000
136,80060.000,77060.000
137,78977.500,81977.500
138,79992.000,76992.000
139,83841.000,86841.000
140,85416.500,85416.500
141,81487.500,78487.500
142,76870.000,76870.000
143,74454.000,77454.000
144,76193.500,73193.500
145,74988.000,71988.000
146,72553.500,75553.500
147,72367.000,69367.000
148,69983.500,69983.500
149,68529.000,71529.000
150,69750.000,66750.000
151,74355.000,77355.000
152,80471.000,83471.000
153,84622.000,81622.000
154,85479.000,88479.000
155,85087.000,85087.000
156,84222.000,81222.000
157,84088.000,81088.000
158,82970.500,85970.500
159,80844.500,77844.500
160,78815.000,81815.000
161,78103.000,81103.000
162,79747.500,79747.500
163,84365.000,81365.000
164,86525.000,83525.000
165,82359.500,85359.500
166,77902.500,74902.500
167,75548.000,78548.000
168,77413.500,77413.500
169,76305.000,76305.000
170,73706.500,76706.500
171,73668.000,70668.000
172,71398.500,74398.500
173,69960.000,66960.000
174,71211.000,74211.000
175,75763.000,72763.000
176,81518.500,84518.500
177,85594.000,88594.000
178,86684.500,83684.500
179,86006.000,83006.000
180,84557.500,87557.500
181,84192.500,87192.500
182,82994.000,82994.000
183,79253.000,79253.000
184,76607.000,73607.000
185,76255.500,79255.500
186,78134.000,75134.000
187,82720.500,79720.500
188,84272.500,84272.500
189,81429.500,84429.500
190,77452.500,80452.500
191,75449.000,75449.000
192,77469.500,74469.500
193,76291.000,73291.000
194,73453.000,73453.000
195,72927.000,75927.000
196,70122.500,67122.500
197,68249.000,71249.000
198,68201.000,71201.000
199,69666.000,66666.000
200,71772.000,74772.000
201,74583.500,71583.500
202,77355.000,80355.000
203,79413.500,76413.500
204,79248.500,76248.500
205,80221.500,83221.500
206,79336.000,76336.000
207,75503.000,75503.000
208,72881.500,75881.500
209,71835.500,74835.500
210,73332.500,73332.500
211,78044.000,78044.000
212,80495.000,77495.000
213,79024.000,76024.000
214,75745.500,78745.500
215,74114.000,71114.000
216,76396.000,79396.000
217,75404.000,75404.000
218,72359.500,69359.500
219,71586.500,71586.500
220,68936.000,71936.000
221,66778.500,66778.500
222,66356.500,69356.500
223,67061.500,64061.500
224,68506.000,65506.000
225,70477.500,73477.500
226,73143.000,70143.000
227,75865.500,78865.500
228,76919.500,79919.500
229,78139.500,75139.500
230,76881.000,73881.000
231,72451.000,72451.000
232,69609.000,72609.000
233,68571.500,71571.500
234,70395.000,70395.000
235,76315.000,73315.000
236,79915.500,76915.500
237,78573.000,81573.000
238,75558.000,78558.000
239,73666.000,70666.000
240,75726.000,78726.000
241,74992.500,71992.500
242,72574.000,69574.000
243,72487.500,72487.500
244,70536.500,73536.500
245,69262.500,72262.500
246,70805.000,70805.000
247,75586.000,72586.000
248,82142.500,79142.500
249,86781.500,86781.500
250,87831.500,90831.500
251,87153.000,90153.000
252,86180.000,83180.000
253,86370.000,89370.000
254,85536.500,82546.500
255,82929.000,79929.000
256,80547.500,83547.500
257,79827.500,82827.500
258,81272.000,78272.000
259,85968.000,88968.000
260,87864.500,87864.500
261,83591.000,80591.000
262,78784.500,78784.500
263,76144.500,73144.500
264,77534.500,77534.500
265,76188.000,76188.000
266,73605.500,76605.500
267,73125.500,73125.500
268,70657.500,73657.500
269,69153.000,66153.000
270,70044.500,73044.500
271,74428.000,71428.000
272,80432.500,83432.500
273,84207.000,81207.000
274,84842.000,84842.000
275,84447.000,87447.000
276,84270.000,84070.000
277,84979.000,82079.000
278,84133.500,81233.500
279,81793.000,84793.000
280,79301.000,82301.000
281,78135.500,78135.500
282,78410.000,75410.000
283,81433.000,78433.000
284,82673.500,82673.500
285,78361.500,81361.500
286,73533.000,76533.000
287,70765.500,67765.500
288,71742.000,74742.000
289,70266.500,67266.500
290,66878.000,63878.000
291,66264.500,69264.500
292,63872.500,60872.500
293,62293.000,65293.000
294,63118.500,63118.500
295,67189.500,70189.500
296,72781.000,69781.000
297,76854.500,79854.500
298,77731.500,74731.500
299,77708.500,74708.500
300,77644.500,80644.500
301,78593.500,75593.500
302,77802.500,80802.500
303,75688.500,78688.500
304,73432.500,70432.500
305,72521.000,75521.000
306,72965.500,69965.500
307,76641.000,79641.000
308,78257.000,78257.000
309,74083.500,71083.500
310,69472.500,69472.500
311,66911.000,69911.000
312,68312.500,65312.500
313,66887.500,63887.500
314,63930.500,66930.500
315,63089.500,60089.500
316,60676.500,60676.500
317,59056.500,62056.500
318,59992.000,56992.000
319,64428.500,67428.500
320,70790.500,73790.500
321,74715.000,71715.000
322,75418.000,78418.000
323,74782.000,74782.000
324,74921.000,71921.000
325,76211.000,73211.000
326,75807.000,78807.000
327,73671.000,70671.000
328,71642.500,74642.500
329,70682.000,73682.000
330,71520.500,71520.500
331,75056.000,72056.000
332,77018.000,74018.000
333,73235.500,76235.500
334,68856.500,65856.500
335,66555.500,69555.500
336,68448.500,68448.500
337,67229.000,67229.000
338,64314.000,67314.000
339,63931.000,60931.000
340,61852.500,64852.500
341,60650.000,57650.000
342,61950.500,64950.500
343,66461.000,63461.000
344,72843.500,75843.500
345,77121.000,80121.000
346,78184.500,75184.500
347,78341.500,75341.500
348,78018.500,81018.500
349,78448.000,81448.000
350,77542.500,77542.500
351,75245.000,75245.000
352,73328.500,70328.500
353,72418.500,75418.500
354,73824.000,70824.000
355,78192.500,75192.500
356,79899.500,79899.500
357,77215.000,80215.000
358,73136.000,76136.000
359,71211.000,71211.000
360,73264.000,70264.000
361,72040.000,69040.000
362,68861.500,68861.500
363,68198.500,71198.500
364,65952.000,62952.000
365,64383.500,67383.500
366,64439.500,67439.500
367,66256.500,63256.500
368,68549.500,71549.500
369,71474.500,68474.500
370,74119.500,77119.500
371,75731.000,72731.000
372,76207.500,73207.500
373,77849.000,80849.000
374,77564.000,74564.000
375,74321.000,74321.000
376,71912.500,74912.500
377,70836.500,73836.500
378,71357.000,71357.000
379,75086.000,75086.000
380,76636.000,73636.000
381,74326.500,71326.500
382,70595.000,73595.000
383,68734.000,65734.000
384,70777.500,73777.500
385,69629.000,69629.000
386,66491.000,63491.000
387,65271.000,65271.000
388,62360.000,65360.000
389,60144.000,60144.000
390,59363.000,62363.000
391,59888.500,56888.500
392,60885.500,57885.500
393,62652.500,65652.500
394,65119.500,62119.500
395,67568.500,70568.500
396,68444.500,71444.500
