Date;Heure;RES11 (+ RES11WE);RES2 (+ RES5);RES2WE;RES3;RES4
01/01/2021;0;692.3350707;1372.46329;758.4948744;963.1881436;555.0213703
01/01/2021;1;650.628072;1330.968923;714.111298;815.6510752;579.338524
01/01/2021;2;625.8005639;1281.099159;740.5883632;716.4849134;574.1787829
01/01/2021;3;612.1990413;1150.105689;885.372434;648.8494219;550.7627638
01/01/2021;4;613.4097326;1052.785603;978.1236221;623.3016889;530.5105453
01/01/2021;5;626.8607877;1037.173136;1020.704619;619.9738005;527.0330882
01/01/2021;6;653.6813703;1058.222354;1132.046485;616.4933589;542.97992
01/01/2021;7;687.7990198;1036.935412;1372.46201;648.058796;559.6045731
01/01/2021;8;740.7430567;1059.601542;1498.70752;707.2542436;622.4859739
01/01/2021;9;804.237932;1106.627383;1614.585735;776.6599258;696.9967344
01/01/2021;10;870.9065033;1144.531656;1806.830074;830.8376105;745.3710429
01/01/2021;11;916.0519561;1179.438383;1727.829435;863.7018772;775.4756988
01/01/2021;12;925.7268373;1291.850739;1403.039547;873.5762237;757.4786631
01/01/2021;13;866.4550097;1269.895899;1345.505898;817.6164944;684.0192945
01/01/2021;14;819.0505344;1169.473401;1322.288687;762.5420181;638.0722591
01/01/2021;15;795.3544313;1124.545408;1328.385383;733.1946292;613.2015647
01/01/2021;16;790.6569369;1090.050172;1342.169186;750.7643314;612.6636953
01/01/2021;17;850.7490788;1133.160424;1432.747964;805.7069464;638.4326032
01/01/2021;18;916.7281618;1212.24894;1512.834609;864.0496119;681.5889028
01/01/2021;19;962.363961;1251.811753;1652.840594;894.9423157;704.9162029
01/01/2021;20;944.0607668;1233.224713;1740.862345;864.7962431;693.4031267
01/01/2021;21;866.9907066;1215.406166;1630.545781;812.9715079;638.4838119
01/01/2021;22;776.3209829;1282.651345;1255.073303;1496.153933;584.9658575
01/01/2021;23;695.3128301;1388.094221;938.8789022;1274.884214;537.2798631
02/01/2021;0;662.0150438;1351.448073;2022.444348;1038.59327;526.8901738
02/01/2021;1;634.4368599;1314.759197;1339.000982;882.9071525;560.7257882
02/01/2021;2;630.0549762;1275.510917;967.5312864;789.5919763;567.0591821
02/01/2021;3;629.9868278;1157.206002;944.3896492;752.1633875;556.9217578
02/01/2021;4;645.1917325;1099.171608;1070.197962;744.7696062;543.9317995
02/01/2021;5;662.7672504;1096.702309;1147.49121;761.321391;543.1045487
02/01/2021;6;697.7678326;1124.043495;1244.621471;711.7405613;569.3263441
02/01/2021;7;751.1343489;1140.555832;1452.027456;757.6488904;602.8693898
02/01/2021;8;820.4311943;1189.266457;1662.235455;823.3641176;685.1405763
02/01/2021;9;903.4074355;1245.48758;1780.527993;881.1585602;752.4200137
02/01/2021;10;949.8259404;1264.398777;1873.513686;894.4030019;777.0151144
02/01/2021;11;973.6090969;1277.135473;1771.320888;905.5314464;774.8663564
02/01/2021;12;988.6823587;1398.214921;1363.595365;910.9073131;764.606781
02/01/2021;13;930.8274979;1373.357388;1256.956072;850.9196602;717.0390641
02/01/2021;14;880.0289503;1277.593073;1268.441345;807.2189001;680.0355486
02/01/2021;15;858.8973401;1232.958656;1321.464761;786.8782414;652.123611
02/01/2021;16;861.0518288;1200.174503;1365.766341;796.7716294;652.2073742
02/01/2021;17;900.8752467;1223.570683;1472.220453;843.3441544;679.8190711
02/01/2021;18;971.7730281;1289.152899;1509.215805;899.0878107;715.7567376
02/01/2021;19;1015.072171;1333.716829;1537.439498;930.7455983;732.2911453
02/01/2021;20;981.6427366;1291.681847;1581.528421;887.4364199;706.6796638
02/01/2021;21;896.3561468;1267.486073;1473.726808;827.7314713;646.9055589
02/01/2021;22;802.2996298;1333.129651;1174.64386;1503.303565;585.2480853
02/01/2021;23;721.7667951;1446.227344;880.5277559;1285.64367;540.7757331
03/01/2021;0;665.7388288;1386.795234;801.7661165;1046.983929;528.5682031
03/01/2021;1;635.7427798;1337.265803;761.8018644;887.7755906;557.8733415
03/01/2021;2;620.6657049;1289.363653;787.9142703;790.7095755;565.2334461
03/01/2021;3;617.9802975;1159.657405;959.2275318;749.9347428;549.2817653
03/01/2021;4;625.387399;1084.025982;1063.235248;744.4910247;533.9738398
03/01/2021;5;641.285608;1070.942453;1105.640813;756.7607373;538.0914373
