Date,Heure Journée,dispo PV,M-E,M,M+E
1/1/2021,    0,0.00,0,0,0
1/1/2021,    1,0.00,0,0,0
1/1/2021,    2,0.00,0,0,0
1/1/2021,    3,0.00,0,0,0
1/1/2021,    4,0.00,0,0,0
1/1/2021,    5,0.00,0,0,0
1/1/2021,    6,0.00,0,0,0
1/1/2021,    7,0.00,0,0,0
1/1/2021,    8,0.00,16.052,40.13,64.208
1/1/2021,    9,0.03,19.752,49.38,79.008
1/1/2021,    10,0.08,60.344,150.86,241.376
1/1/2021,    11,0.13,393.72,984.3,1574.88
1/1/2021,    12,0.16,181.84,454.6,727.36
1/1/2021,    13,0.15,65.104,162.76,260.416
1/1/2021,    14,0.13,184.312,460.78,737.248
1/1/2021,    15,0.08,119.208,298.02,476.832
1/1/2021,    16,0.03,0,0,0
1/1/2021,    17,0.00,0,0,0
1/1/2021,    18,0.00,0,0,0
1/1/2021,    19,0.00,0,0,0
1/1/2021,    20,0.00,0,0,0
1/1/2021,    21,0.00,0,0,0
1/1/2021,    22,0.00,0,0,0
1/1/2021,    23,0.00,0,0,0
1/2/2021,    0,0.00,0,0,0
1/2/2021,    1,0.00,0,0,0
1/2/2021,    2,0.00,0,0,0
1/2/2021,    3,0.00,0,0,0
1/2/2021,    4,0.00,0,0,0
1/2/2021,    5,0.00,0,0,0
1/2/2021,    6,0.00,0,0,0
1/2/2021,    7,0.00,0,0,0
1/2/2021,    8,0.00,17.908,44.77,71.632
1/2/2021,    9,0.02,159.372,398.43,637.488
1/2/2021,    10,0.05,141.256,353.14,565.024
1/2/2021,    11,0.09,77.8,194.5,311.2
1/2/2021,    12,0.11,162.4,406,649.6
1/2/2021,    13,0.11,110.124,275.31,440.496
1/2/2021,    14,0.08,118.768,296.92,475.072
1/2/2021,    15,0.05,19.984,49.96,79.936
1/2/2021,    16,0.02,0,0,0
1/2/2021,    17,0.00,0,0,0
1/2/2021,    18,0.00,0,0,0
1/2/2021,    19,0.00,0,0,0
1/2/2021,    20,0.00,0,0,0
1/2/2021,    21,0.00,0,0,0
1/2/2021,    22,0.00,0,0,0
1/2/2021,    23,0.00,0,0,0
1/3/2021,    0,0.00,0,0,0
1/3/2021,    1,0.00,0,0,0
1/3/2021,    2,0.00,0,0,0
1/3/2021,    3,0.00,0,0,0
1/3/2021,    4,0.00,0,0,0
1/3/2021,    5,0.00,0,0,0
1/3/2021,    6,0.00,0,0,0
1/3/2021,    7,0.00,0,0,0
1/3/2021,    8,0.00,109.56,273.9,438.24
1/3/2021,    9,0.03,19.884,49.71,79.536
1/3/2021,    10,0.07,58.104,145.26,232.416
1/3/2021,    11,0.12,74.952,187.38,299.808
1/3/2021,    12,0.15,78.36,195.9,313.44
1/3/2021,    13,0.14,121.692,304.23,486.768
1/3/2021,    14,0.11,104.692,261.73,418.768
1/3/2021,    15,0.07,68.028,170.07,272.112
1/3/2021,    16,0.02,0,0,0
1/3/2021,    17,0.00,0,0,0
1/3/2021,    18,0.00,0,0,0
1/3/2021,    19,0.00,0,0,0
1/3/2021,    20,0.00,0,0,0
1/3/2021,    21,0.00,0,0,0
1/3/2021,    22,0.00,0,0,0
1/3/2021,    23,0.00,0,0,0
1/4/2021,    0,0.00,0,0,0
1/4/2021,    1,0.00,0,0,0
1/4/2021,    2,0.00,0,0,0
1/4/2021,    3,0.00,0,0,0
1/4/2021,    4,0.00,0,0,0
1/4/2021,    5,0.00,0,0,0
1/4/2021,    6,0.00,0,0,0
1/4/2021,    7,0.00,0,0,0
1/4/2021,    8,0.00,27.016,67.54,108.064
1/4/2021,    9,0.02,42.604,106.51,170.416
1/4/2021,    10,0.06,134.788,336.97,539.152
1/4/2021,    11,0.09,162.684,406.71,650.736
1/4/2021,    12,0.11,486.764,1216.91,1947.056
1/4/2021,    13,0.10,227.392,568.48,909.568
1/4/2021,    14,0.09,294.272,735.68,1177.088
1/4/2021,    15,0.06,90.76,226.9,363.04
1/4/2021,    16,0.02,0,0,0
1/4/2021,    17,0.00,0,0,0
1/4/2021,    18,0.00,0,0,0
1/4/2021,    19,0.00,0,0,0
1/4/2021,    20,0.00,0,0,0
1/4/2021,    21,0.00,0,0,0
1/4/2021,    22,0.00,0,0,0
1/4/2021,    23,0.00,0,0,0
1/5/2021,    0,0.00,0,0,0
1/5/2021,    1,0.00,0,0,0
1/5/2021,    2,0.00,0,0,0
1/5/2021,    3,0.00,0,0,0
1/5/2021,    4,0.00,0,0,0
1/5/2021,    5,0.00,0,0,0
1/5/2021,    6,0.00,0,0,0
1/5/2021,    7,0.00,0,0,0
1/5/2021,    8,0.00,19.276,48.19,77.104
1/5/2021,    9,0.02,61.304,153.26,245.216
1/5/2021,    10,0.05,12.176,30.44,48.704
1/5/2021,    11,0.07,96.632,241.58,386.528
1/5/2021,    12,0.09,50.584,126.46,202.336
1/5/2021,    13,0.08,35.076,87.69,140.304
1/5/2021,    14,0.07,25.988,64.97,103.952
1/5/2021,    15,0.04,12.816,32.04,51.264
1/5/2021,    16,0.01,0,0,0
1/5/2021,    17,0.00,0,0,0
1/5/2021,    18,0.00,0,0,0
1/5/2021,    19,0.00,0,0,0
1/5/2021,    20,0.00,0,0,0
1/5/2021,    21,0.00,0,0,0
1/5/2021,    22,0.00,0,0,0
1/5/2021,    23,0.00,0,0,0
1/6/2021,    0,0.00,0,0,0
1/6/2021,    1,0.00,0,0,0
1/6/2021,    2,0.00,0,0,0
1/6/2021,    3,0.00,0,0,0
1/6/2021,    4,0.00,0,0,0
1/6/2021,    5,0.00,0,0,0
1/6/2021,    6,0.00,0,0,0
1/6/2021,    7,0.00,0,0,0
1/6/2021,    8,0.00,16.936,42.34,67.744
1/6/2021,    9,0.02,35.792,89.48,143.168
1/6/2021,    10,0.07,35.548,88.87,142.192
1/6/2021,    11,0.11,48.144,120.36,192.576
1/6/2021,    12,0.14,52.384,130.96,209.536
1/6/2021,    13,0.13,43.664,109.16,174.656
1/6/2021,    14,0.10,34.312,85.78,137.248
1/6/2021,    15,0.06,28.04,70.1,112.16
1/6/2021,    16,0.02,0,0,0
1/6/2021,    17,0.00,0,0,0
1/6/2021,    18,0.00,0,0,0
1/6/2021,    19,0.00,0,0,0
1/6/2021,    20,0.00,0,0,0
1/6/2021,    21,0.00,0,0,0
1/6/2021,    22,0.00,0,0,0
1/6/2021,    23,0.00,0,0,0
1/7/2021,    0,0.00,0,0,0
1/7/2021,    1,0.00,0,0,0
1/7/2021,    2,0.00,0,0,0
1/7/2021,    3,0.00,0,0,0
1/7/2021,    4,0.00,0,0,0
1/7/2021,    5,0.00,0,0,0
1/7/2021,    6,0.00,0,0,0
1/7/2021,    7,0.00,0,0,0
1/7/2021,    8,0.00,9.416,23.54,37.664
1/7/2021,    9,0.04,39.192,97.98,156.768
1/7/2021,    10,0.11,40.736,101.84,162.944
1/7/2021,    11,0.17,48.92,122.3,195.68
1/7/2021,    12,0.20,55.776,139.44,223.104
1/7/2021,    13,0.19,55.708,139.27,222.832
1/7/2021,    14,0.15,78.272,195.68,313.088
1/7/2021,    15,0.10,44.868,112.17,179.472
1/7/2021,    16,0.04,0,0,0
1/7/2021,    17,0.00,0,0,0
1/7/2021,    18,0.00,0,0,0
1/7/2021,    19,0.00,0,0,0
1/7/2021,    20,0.00,0,0,0
1/7/2021,    21,0.00,0,0,0
1/7/2021,    22,0.00,0,0,0
1/7/2021,    23,0.00,0,0,0
1/8/2021,    0,0.00,0,0,0
1/8/2021,    1,0.00,0,0,0
1/8/2021,    2,0.00,0,0,0
1/8/2021,    3,0.00,0,0,0
1/8/2021,    4,0.00,0,0,0
1/8/2021,    5,0.00,0,0,0
1/8/2021,    6,0.00,0,0,0
1/8/2021,    7,0.00,0,0,0
1/8/2021,    8,0.00,17.608,44.02,70.432
1/8/2021,    9,0.05,38.596,96.49,154.384
1/8/2021,    10,0.14,42.692,106.73,170.768
1/8/2021,    11,0.21,70.612,176.53,282.448
1/8/2021,    12,0.24,119.276,298.19,477.104
1/8/2021,    13,0.23,608.512,1521.28,2434.048
1/8/2021,    14,0.19,32.016,80.04,128.064
1/8/2021,    15,0.12,46.864,117.16,187.456
1/8/2021,    16,0.04,0,0,0
1/8/2021,    17,0.00,0,0,0
1/8/2021,    18,0.00,0,0,0
1/8/2021,    19,0.00,0,0,0
1/8/2021,    20,0.00,0,0,0
1/8/2021,    21,0.00,0,0,0
1/8/2021,    22,0.00,0,0,0
1/8/2021,    23,0.00,0,0,0
1/9/2021,    0,0.00,0,0,0
1/9/2021,    1,0.00,0,0,0
1/9/2021,    2,0.00,0,0,0
1/9/2021,    3,0.00,0,0,0
1/9/2021,    4,0.00,0,0,0
1/9/2021,    5,0.00,0,0,0
1/9/2021,    6,0.00,0,0,0
1/9/2021,    7,0.00,0,0,0
1/9/2021,    8,0.00,40.052,100.13,160.208
1/9/2021,    9,0.03,87.988,219.97,351.952
1/9/2021,    10,0.08,90.936,227.34,363.744
1/9/2021,    11,0.13,199.88,499.7,799.52
1/9/2021,    12,0.17,350.388,875.97,1401.552
1/9/2021,    13,0.17,138.2,345.5,552.8
1/9/2021,    14,0.14,453.72,1134.3,1814.88
1/9/2021,    15,0.09,89.192,222.98,356.768
1/9/2021,    16,0.03,0,0,0
1/9/2021,    17,0.00,0,0,0
1/9/2021,    18,0.00,0,0,0
1/9/2021,    19,0.00,0,0,0
1/9/2021,    20,0.00,0,0,0
1/9/2021,    21,0.00,0,0,0
1/9/2021,    22,0.00,0,0,0
1/9/2021,    23,0.00,0,0,0
1/10/2021,    0,0.00,0,0,0
1/10/2021,    1,0.00,0,0,0
1/10/2021,    2,0.00,0,0,0
1/10/2021,    3,0.00,0,0,0
1/10/2021,    4,0.00,0,0,0
1/10/2021,    5,0.00,0,0,0
1/10/2021,    6,0.00,0,0,0
1/10/2021,    7,0.00,0,0,0
1/10/2021,    8,0.00,47.064,117.66,188.256
1/10/2021,    9,0.03,70.216,175.54,280.864
1/10/2021,    10,0.11,81.828,204.57,327.312
1/10/2021,    11,0.17,113.8,284.5,455.2
1/10/2021,    12,0.21,116.008,290.02,464.032
1/10/2021,    13,0.21,96.312,240.78,385.248
1/10/2021,    14,0.18,45.748,114.37,182.992
1/10/2021,    15,0.13,28.748,71.87,114.992
1/10/2021,    16,0.05,0,0,0
1/10/2021,    17,0.00,0,0,0
1/10/2021,    18,0.00,0,0,0
1/10/2021,    19,0.00,0,0,0
1/10/2021,    20,0.00,0,0,0
1/10/2021,    21,0.00,0,0,0
1/10/2021,    22,0.00,0,0,0
1/10/2021,    23,0.00,0,0,0
1/11/2021,    0,0.00,0,0,0
1/11/2021,    1,0.00,0,0,0
1/11/2021,    2,0.00,0,0,0
1/11/2021,    3,0.00,0,0,0
1/11/2021,    4,0.00,0,0,0
1/11/2021,    5,0.00,0,0,0
1/11/2021,    6,0.00,0,0,0
1/11/2021,    7,0.00,0,0,0
1/11/2021,    8,0.00,75.292,188.23,301.168
1/11/2021,    9,0.05,76.584,191.46,306.336
1/11/2021,    10,0.14,110.456,276.14,441.824
1/11/2021,    11,0.19,113.316,283.29,453.264
1/11/2021,    12,0.21,124.676,311.69,498.704
1/11/2021,    13,0.22,200.112,500.28,800.448
1/11/2021,    14,0.19,241.212,603.03,964.848
1/11/2021,    15,0.13,125.556,313.89,502.224
1/11/2021,    16,0.05,0,0,0
1/11/2021,    17,0.00,0,0,0
1/11/2021,    18,0.00,0,0,0
1/11/2021,    19,0.00,0,0,0
1/11/2021,    20,0.00,0,0,0
1/11/2021,    21,0.00,0,0,0
1/11/2021,    22,0.00,0,0,0
1/11/2021,    23,0.00,0,0,0
1/12/2021,    0,0.00,0,0,0
1/12/2021,    1,0.00,0,0,0
1/12/2021,    2,0.00,0,0,0
1/12/2021,    3,0.00,0,0,0
1/12/2021,    4,0.00,0,0,0
1/12/2021,    5,0.00,0,0,0
1/12/2021,    6,0.00,0,0,0
1/12/2021,    7,0.00,0,0,0
1/12/2021,    8,0.00,27.5,68.75,110
1/12/2021,    9,0.02,37.924,94.81,151.696
1/12/2021,    10,0.06,120.9,302.25,483.6
1/12/2021,    11,0.08,21.076,52.69,84.304
1/12/2021,    12,0.11,50.164,125.41,200.656
1/12/2021,    13,0.11,38.12,95.3,152.48
1/12/2021,    14,0.09,13.392,33.48,53.568
1/12/2021,    15,0.06,53.388,133.47,213.552
1/12/2021,    16,0.02,0,0,0
1/12/2021,    17,0.00,0,0,0
1/12/2021,    18,0.00,0,0,0
1/12/2021,    19,0.00,0,0,0
1/12/2021,    20,0.00,0,0,0
1/12/2021,    21,0.00,0,0,0
1/12/2021,    22,0.00,0,0,0
1/12/2021,    23,0.00,0,0,0
1/13/2021,    0,0.00,0,0,0
1/13/2021,    1,0.00,0,0,0
1/13/2021,    2,0.00,0,0,0
1/13/2021,    3,0.00,0,0,0
1/13/2021,    4,0.00,0,0,0
1/13/2021,    5,0.00,0,0,0
1/13/2021,    6,0.00,0,0,0
1/13/2021,    7,0.00,0,0,0
1/13/2021,    8,0.00,50.144,125.36,200.576
1/13/2021,    9,0.03,77.468,193.67,309.872
1/13/2021,    10,0.08,112.156,280.39,448.624
1/13/2021,    11,0.11,142.56,356.4,570.24
1/13/2021,    12,0.14,176.056,440.14,704.224
1/13/2021,    13,0.13,147.12,367.8,588.48
1/13/2021,    14,0.12,80.384,200.96,321.536
1/13/2021,    15,0.08,129.996,324.99,519.984
1/13/2021,    16,0.03,0,0,0
1/13/2021,    17,0.00,0,0,0
1/13/2021,    18,0.00,0,0,0
1/13/2021,    19,0.00,0,0,0
1/13/2021,    20,0.00,0,0,0
1/13/2021,    21,0.00,0,0,0
1/13/2021,    22,0.00,0,0,0
1/13/2021,    23,0.00,0,0,0
1/14/2021,    0,0.00,0,0,0
1/14/2021,    1,0.00,0,0,0
1/14/2021,    2,0.00,0,0,0
1/14/2021,    3,0.00,0,0,0
1/14/2021,    4,0.00,0,0,0
1/14/2021,    5,0.00,0,0,0
1/14/2021,    6,0.00,0,0,0
1/14/2021,    7,0.00,0,0,0
1/14/2021,    8,0.00,123.812,309.53,495.248
1/14/2021,    9,0.04,388.32,970.8,1553.28
1/14/2021,    10,0.09,680.516,1701.29,2722.064
1/14/2021,    11,0.13,637.04,1592.6,2548.16
1/14/2021,    12,0.15,743.024,1857.56,2972.096
